name,product url,price,sku,imgUrl,company
BigLookMascara,https://www.purcosmetics.com/big-look-mascara,$21.00,big_look_mascara,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/b/i/big-look-mascara-cap-on-appl-to-side.jpg,purcosmetics
CeaseCreaseEyeshadowPrimer,https://www.purcosmetics.com/cease-crease,$8.00,cease_crease_eyeshadow_primer,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/c/e/cease-crease-eye-shadow-primer-cap-on.jpg,purcosmetics
SkinPerfectingFoundationBrush,https://www.purcosmetics.com/skin-perfecting-foundation-brush,$28.00,skin_perfecting_foundation_brush,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/s/k/skin-perfecting-body-brush_72dpi.jpg,purcosmetics
Browder,https://www.purcosmetics.com/browder,$15.00,browder,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/b/r/browder-blonde-cap-on-appl-to-side.jpg,purcosmetics
CorrectingPrimerPrep&Perfect,https://www.purcosmetics.com/color-correcting-primer-neutral,$33.00,correcting_primer_prep_&_perfect,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/c/o/color-correcting-primer-prep-and-perfect-cap-on.jpg,purcosmetics
ChâteauCheekStain,https://www.purcosmetics.com/chateau-cheek-stain,$9.00,château_cheek_stain,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/c/h/chateau-cheek-stain-peach-bellini-cap-off.jpg,purcosmetics
MascaraTrifecta,https://www.purcosmetics.com/mascara-trifecta,$19.00,mascara_trifecta,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/m/a/mascara-trifecta-holiday-16-72dpi.jpg,purcosmetics
SoakItUp,https://www.purcosmetics.com/soak-it-up,$34.00,soak_it_up,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/s/o/soak-it-up-cap-off-to-side.jpg,purcosmetics
CameoContour&HighlightStick,https://www.purcosmetics.com/cameo-contour-stick,$39.50,cameo_contour_&_highlight_stick,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/c/a/cameo-contour-light-cap-off.jpg,purcosmetics
DisappearingAct,https://www.purcosmetics.com/disappearing-act,$24.00,disappearing_act,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/d/i/disappearing-act-concealer-porcelain-open.jpg,purcosmetics
4-in-1TintedMoisturizer,https://www.purcosmetics.com/4-in-1-tinted-moisturizer,$34.00,4-in-1_tinted_moisturizer,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/4/-/4-in-1-mineral-tinted-moisturizer-light-cap-on-72dpi_1.jpg,purcosmetics
ChiselBrush,https://www.purcosmetics.com/chisel-brush,$17.00,chisel_brush,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/c/h/chisel-brush.jpg,purcosmetics
FullyChargedMascaraMini,https://www.purcosmetics.com/fully-charged-mini,$15.00,fully_charged_mascara_mini,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/f/u/fullycharged-mini-caponappltoside-300dpi.jpg,purcosmetics
M.M.C.Moisturizer,https://www.purcosmetics.com/m-m-c,$38.00,m.m.c._moisturizer,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/m/./m.m.c.-cap-off-to-side.jpg,purcosmetics
EyeDefiningPencilwithSmudger,https://www.purcosmetics.com/eye-pencil-with-smudger,$12.00,eye_defining_pencil_with_smudger,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/m/i/mineral-eye-defining-pencil-with-smudger-hidden-treasure-cap-off.jpg,purcosmetics
CorrectingPrimerIlluminate&GlowMini,https://www.purcosmetics.com/color-correcting-primer-illuminate-glow-mini,$15.00,correcting_primer_illuminate_&_glow_mini,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/8/5/851154130_mini_illuminate_glow_72dpi.jpg,purcosmetics
VelvetMatteLiquidLipstick,https://www.purcosmetics.com/new-velvet-matte-liquid-lipstick,$18.00,velvet_matte_liquid_lipstick,https://cf.purcosmetics.com/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/v/e/velvetmatte_ohbae_capoff_72dpi_3.jpg,purcosmetics
